,annee,code,nom,conso,dept
736217,2018,62284,ecourt-saint-quentin,5.612,62
736221,2018,71187,ecuisses,5.605,71
736242,2018,62290,ecurie,5.64,62
736296,2018,67121,elsenheim,5.98,67
736533,2018,85083,epine,4.854,85
736565,2018,60212,ercuis,5.769,60
736621,2018,53096,ernee,6.133,53
736635,2018,59205,escaudain,3.879,59
736719,2018,60226,eve,8.517,60
737069,2018,54222,gerbeviller,5.449,54
737166,2018,08191,givonne,4.83,8
737527,2018,38184,grenay,8.43,38
737528,2018,14319,grentheville,6.631,14
737598,2018,90054,grosmagny,5.551,90
737798,2018,80410,ham,4.329,80
737821,2018,57714,haute-vigneulles,6.629,57
738487,2018,77141,coutevroult,6.969,77
738496,2018,51196,cramant,7.208,51
738523,2018,79048,creche,5.453,79
738912,2018,77148,crouy-sur-ourcq,6.944,77
738998,2018,39189,damparis,4.413,39
739432,2018,08222,haybes,4.172,8
739439,2018,95303,heaulme,9.138,95
739491,2018,18109,henrichemont,5.238,18
739512,2018,60310,herchies,7.663,60
739566,2018,14328,herouvillette,6.724,14
739567,2018,18110,herry,5.506,18
739570,2018,89201,hery,5.832,89
739588,2018,14689,hom,5.739,14
739595,2018,59310,hon-hergies,5.721,59
739649,2018,17190,houmeau,6.302,17
739651,2018,62464,hulluch,5.113,62
739652,2018,03128,huriel,5.376,3
739769,2018,28196,illiers-combray,5.473,28
740136,2018,88250,jarmenil,6.044,88
740194,2018,74144,jonzier-epagny,8.136,74
740388,2018,57372,kuntzig,5.188,57
740397,2018,69106,lachassagne,8.534,69
740399,2018,81130,lagarrigue,6.124,81
740443,2018,07127,lalevade-d'ardeche,4.598,7
740445,2018,07128,lalouvesc,3.594,7
740447,2018,31269,lamasquere,6.885,31
740469,2018,59329,lambres-lez-douai,4.496,59
740576,2018,62489,lapugnoy,4.846,62
740580,2018,64315,laroin,5.829,64
740582,2018,30140,lasalle,4.773,30
740583,2018,74147,lathuile,6.627,74
740648,2018,60380,mareuil-sur-ourcq,7.99,60
741725,2018,81156,marssac-sur-tarn,5.484,81
741760,2018,19129,masseret,5.335,19
741761,2018,74171,massongy,7.759,74
741967,2018,84067,loriol-du-comtat,7.681,84
741998,2018,40159,louer,6.923,40
742034,2018,64353,louvie-juzon,4.763,64
743223,2018,90065,lepuix,4.675,90
743412,2018,09167,lezat-sur-leze,5.35,9
744113,2018,16187,linars,5.22,16
744216,2018,57407,lixheim,5.318,57
744251,2018,74150,loisin,8.071,74
744257,2018,55302,longeville-en-barrois,4.424,55
744965,2018,77269,maincy,6.433,77
744966,2018,59369,maing,5.14,59
745177,2018,84070,malemort-du-comtat,6.629,84
745180,2018,44089,malville,7.661,44
745185,2018,25364,mamirolle,6.073,25
746310,2019,35167,martigné-ferchaud,6.23,35
746337,2019,41129,maslives,7.516,41
746438,2019,84071,maubec,7.878,84
746499,2019,15122,maurs,4.572,15
746513,2019,72191,mayet,5.958,72
746781,2019,46191,mercuès,5.421,46
747718,2019,60451,neuilly-sous-clermont,7.231,60
747963,2019,42156,neulise,5.864,42
748158,2019,14221,démouville,5.237,14
748249,2019,38155,entre-deux-guiers,5.312,38
748323,2019,59207,escautpont,3.586,59
748327,2019,64216,espoey,6.471,64
748328,2019,85084,essarts en bocage,5.849,85
748338,2019,12098,estaing,3.798,12
748381,2019,55186,fains-véel,4.772,55
748398,2019,45142,fay-aux-loges,7.071,45
748558,2019,48061,florac trois rivières,3.973,48
748572,2019,34101,florensac,6.061,34
749082,2019,38176,frontonas,7.767,38
749170,2019,51248,fère-champenoise,5.849,51
749177,2019,77180,férolles-attilly,8.352,77
749178,2019,61181,gacé,5.403,61
749335,2019,24194,gardonne,6.038,24
749373,2019,59126,cantin,4.983,59
749564,2019,59135,cassel,6.092,59
749635,2019,14538,castine-en-plaine,6.562,14
749707,2019,11088,cazilhac,5.862,11
749739,2019,45061,cepoy,5.293,45
750359,2019,01082,chanay,5.959,1
750360,2019,24102,chancelade,5.422,24
750417,2019,78140,chapet,8.492,78
750572,2019,38139,creys-mépieu,7.497,38
750840,2019,19066,cublac,5.45,19
750879,2019,33146,cussac-fort-médoc,6.693,33
751024,2019,55154,dieue-sur-meuse,5.432,55
751366,2019,62270,divion,4.04,62
751447,2019,03102,dompierre-sur-besbre,5.056,3
751452,2019,59670,don,4.476,59
751523,2019,77163,douy-la-ramée,7.276,77
751642,2019,31163,drémil-lafage,8.367,31
751971,2019,57398,leyviller,6.211,57
752669,2019,46173,limogne-en-quercy,5.1,46
752676,2019,87086,linards,4.942,87
752796,2019,29130,locmaria-plouzané,6.093,29
752814,2019,51329,loivre,8.176,51
753058,2019,77261,lorrez-le-bocage-préaux,5.742,77
753059,2019,22134,louannec,5.43,22
753060,2019,57418,loudrefing,5.881,57
753923,2019,51075,bourgogne-fresne,7.851,51
753983,2019,25084,boussières,5.395,25
754280,2019,90019,bretagne,7.226,90
754288,2019,73057,brides-les-bains,3.643,73
754708,2019,14166,colleville-montgomery,6.181,14
755018,2019,62235,condette,6.502,62
755064,2019,80211,conty,5.933,80
755065,2019,62239,coquelles,5.19,62
755151,2019,01118,corbonod,6.908,1
755152,2019,66056,corbère-les-cabanes,5.765,66
755154,2019,44045,cordemais,8.488,44
755209,2019,13118,coudoux,7.982,13
755452,2019,69066,cours,3.913,69
755476,2019,51193,courtisols,7.433,51
755478,2019,77141,coutevroult,7.296,77
755479,2019,59158,coutiches,6.785,59
